country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
CHN,China,Xuzhou Xiexin,WRI1026377,20.0,34.41,117.33,Solar,,,,,,UNFCCC CDM,https://cdm.unfccc.int/Projects/DB/JCI1324969628.96/view,,1080054,,,,,,,,,,34.1,34.34,35.71,35.24,34.45,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Xuzhou Xiexin Solar Power Plant,WRI1071898,20.0,34.408,117.329,Solar,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=5609,UNFCCC CDM Registry,,,,,,,,,,,34.1,34.34,35.95,35.24,34.45,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yabulaizhen A,WKS0070288,10.0,39.443,102.818,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.89,16.3,16.17,16.35,16.5,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yamzho Yumco,WRI1000508,510.0,29.1,90.377,Hydro,,,,2011.0,Gezhouba Group,China Daily Asia,http://www.chinadailyasia.com/nation/2015-10/13/content_15329030.html,,,,,,,,,,,,1215.51,1558.97,1479.42,1805.95,1546.59,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Yanbian,WKS0065783,30.0,26.47,101.93,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,62.71,64.18,69.0,66.86,69.93,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yanbian County Yanshuihe,WRI1071566,7.0,27.1567,101.4983,Hydro,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=4395,UNFCCC CDM Registry,,,,,,,,,,,13.95,19.47,19.47,22.83,19.47,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
CHN,China,Yanchi,WKS0069544,1000.0,37.982,106.999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,1489.16,1505.47,1498.37,1519.55,1501.28,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
CHN,China,Yanchi Dashuikeng Yinyi Phase 1,WRI1072212,49.0,37.4741,107.2086,Wind,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6538,UNFCCC CDM Registry,1082915,,,,,,,,,,,,,,90.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yanchi Dashuikeng Yinyi Phase 2,WRI1072216,49.0,37.4194,107.1964,Wind,,,,,,UNFCCC CDM Registry,https://cdm.unfccc.int/Projects/redirector?ref=6542,UNFCCC CDM Registry,1082915,,,,,,,,,,,,,,90.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
CHN,China,Yandu A,WKS0069967,6.0,33.29,119.748,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,10.01,10.16,10.31,10.5,10.25,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
